question_id,question,answer,image_id
quest974,what is the largest object on the counter,grill,image137
quest5319,what is on the left side of the mirror,blinds,image990
quest5119,what is in front of the blinds,table,image936
quest7429,what is to the left of the tv stand,trolley,image169
quest11559,what object is below the table,floor_mat,image1274
quest9890,what is to the left of the lamp,bed,image919
quest7029,what is below the shelf,table,image17
quest6392,what is behind the sofa,"window, decorative_item",image1298
quest1375,what is the object close to the wall above the cot,window,image70
quest6323,what is behind the sofa,"flower, vase",image1277
quest10202,what is on the door,door_knob,image1002
quest4190,what is on the left side of the tap,bottle_of_hand_wash_liquid,image651
quest5290,what is on the table in front of the mirror,"books, remote_control",image982
quest4192,what is the cloth hanging,towel,image652
quest5747,what is in front of the blinds,ornamental_plant,image1108
quest11,what is on the right side of the black telephone and on the left side of the red chair,desk,image3
quest10341,what is kept on top of the wooden bed handle,bottle,image1033
quest6952,what is hung on the wall,wall_decoration,image1449
quest10375,what is present in between both the beds,storage_rack,image1042
quest1427,what is the object hung on the hanger,"shirts_in_hanger, bag",image90
quest10070,what are found on the sofa,"pillow, clothes",image970
quest12463,what is in the top right,chandelier,image1448
quest9943,what is to the left of the bed,night_stand,image933
quest719,what is the largest object,sofa,image601
quest4973,what is on the chair,clothes,image895
quest10771,what is the object stuck on the wall,photo,image1121
quest6150,what is on the table,table_runner,image1228
quest11528,what is to the right side of the sofa,curtain,image1268
quest736,what is the object on the table,decoration_item,image1380
quest5129,what is on the left side of the lamp,books,image939
quest7763,what is above the chair,light_bulb,image274
quest4078,what is on the left most side on the table behind the chair,printer,image617
quest3575,how many knobs are visible,3,image477
quest2141,waht is the object close to the door,door_knob,image912
quest8115,what is on the floor,box,image377
quest8068,what is behind the executive chair,shelves,image358
quest910,what is the object on the shelves on the side rack,photo,image103
quest2628,what color are the cabinets,brown,image197
quest9986,what is on the wall,picture,image949
quest497,what is the largest round object in this picture,ottoman,image1299
quest10653,what are found on the cabinet,"lamp, tray, bottle, toy",image1094
quest11120,what is in front of the window,table,image1194
quest7765,what is behind the chair,board,image275
quest11207,what is at the top right corner,piano,image1212
quest7434,what is used to cover the bath tub,shower_curtain,image170
quest1207,what is the object placed on a table below the bookshelf,flatbed_scanner,image16
quest4412,what is the colour of the towel,white,image729
quest4756,what is in front of the picture,"flower, vase",image832
quest4636,what is on the left side of the plate,glass,image800
quest6072,what is behind the table,sofa,image1206
quest1196,what is the largest object,sofa,image14
quest6792,what is the colour of the table and chair,brown,image1409
quest5859,what is the largest object,bed,image1139
quest6909,what is on the right side of the candle holder,decorative_item,image1438
quest4202,what is on the right side of the bottle of liquid,sink,image655
quest11119,what is on the top of the right cabinet,television,image1193
quest11082,what is at the right side of the cabinet,window,image1186
quest6951,what is at the centre of the table,"flower, vase",image1449
quest289,what is on the floor and on the right side of the painting,toy_box,image280
quest5211,what is beneath the drawer,toy,image962
quest6059,what is above the guitar case,hat,image1203
quest8433,what is above the basket,magazine,image506
quest6347,what is on the window,curtain,image1284
quest10940,what are the things found on the cabinet,"book, file, lamp",image1157
quest8020,what object is in the centre of the room,"table, chair",image344
quest389,how many four leg objects are in this picture,4,image478
quest837,what is the object close to the ceiling,light,image1364
quest9576,how many handles are there,6,image835
quest6207,what is above the television,picture,image1244
quest281,how many chairs are around the conference table in this picture,5,image271
quest4289,what is on the left side of the tap,bottle_of_hand_wash_liquid,image682
quest4815,what is on the left side of the cable,electrical_kettle,image847
quest4878,what is above the tap,blinds,image866
quest8138,which is the large object,sofa,image386
quest4348,what is above the holder,blinds,image702
quest1113,what are the objects kept in the shelves,books,image1196
quest5921,what us in the wall,picture,image1159
quest10727,what is found in front of the window,bed,image1111
quest10429,what is on the cabinet,hat,image1054
quest10237,what is kept near the window,lamp,image1009
quest8798,what is on the wall in between the shelves,picture,image623
quest2880,what is in front of the table,chair,image30
quest4411,what is on the left side of the toilet,tissue_roll,image728
quest268,what is in the shelf on the right side of the room,decorative_bowl,image245
quest4748,what is the tallest object,refridgerator,image830
quest1599,what is the largest object,stove,image145
quest4157,what is on the left side of the table,sofa,image639
quest11047,what is opposite to the door,bed,image1179
quest6953,what is above the vase,chandelier,image1449
quest9328,how many chairs can you see,3,image773
quest4537,what is on the right side of the tap,kitchen_utensils,image774
quest7947,what is to the left of the shelf,toy_house,image322
quest8029,what is to the left of the table,stairs,image347
quest7453,what is to the right of the television,speaker,image177
quest9762,what shadow is found on the wall,lamp_shade,image885
quest7088,what is to the right of xerox machine,printer,image37
quest1380,what are the objects on the bed,"pillow, blanket",image73
quest9854,what are found on the top of the bed,"bed_sheets, pillow",image910
quest9819,what is the object stuck on the wall,photo,image900
quest417,which object has the colorful circle pattern,bed_sheets,image525
quest12253,what is behind the table,window,image1404
quest4990,how many chairs are visible,3,image901
quest1963,what is the object on the floor,floor_mat,image739
quest621,what is between the pictures on the right side of the dvd player,television,image192
quest1704,what is the object on the floor left of the bed,cabinet,image538
quest11859,what are the things in the cabinet,photo,image1328
quest5757,what is in front of the table,chair,image1111
quest4715,what is in front of the chair on the table,newspapers,image822
quest3194,how many books are open above the monitor,1,image377
quest7177,what is on the shelf,cup,image97
quest11521,what object is on the floor near the curtain,shoe,image1267
quest7896,what is to the right of the computer table,chair,image309
quest2517,how many re swivel chairs are there around the table,4,image39
quest5145,what is on the stool,clothes,image943
quest9570,how many handles are there,7,image834
quest4922,what is behind the chair,blinds,image878
quest1191,what is the round object that is hung close to the cabinet above the fan,clock,image13
quest9486,what is the object found on the right corner of the room,oven,image811
quest6691,what is the smallest chair colour,blue,image1384
quest4451,what is the colour of the curtains,red,image742
quest3694,what is on the door,door_knob,image512
quest5848,what is in front of the bed,"bag, paper",image1136
quest4398,what is seen in the mirror reflection,mirror,image721
quest10732,what object is found to the left side of the door,television,image1112
quest1507,what is the object to which the jackets are hung close to,hangers,image115
quest3729,what is the colour of the sheets,purple,image520
quest10798,what is the object found on the bed,clothes,image1128
quest4375,how many towels are in pink colour,4,image715
quest7019,what is to the right of sofa,plant,image14
quest10352,what is present in front of the window,bed,image1036
quest10404,what is seen on the left bottom corner,knobs,image1050
quest12158,what is found in the inner room,cabinet,image1386
quest795,what are the objects on the floor in front of the window,"table, chair",image1119
quest731,what is the object close to the wall,poster_board,image36
quest7721,what is right of sofa,typewriter,image261
quest6509,what is the largest object,sofa,image1329
quest6012,what is the colour of the sheets,"pink, white",image1187
quest9390,how many silver wash basins are there,2,image790
quest10275,what is present on the wall near the door,light_switch,image1018
quest2627,what is the largest object,piano,image1282
quest8099,what is behind the table,chair,image371
quest10546,what is to the right of the cabinet,window,image1075
quest1746,what is the object close to the wall above the counter,window,image575
quest5763,what is the colour of the wall,white,image1112
quest5177,what is in the shelf,book,image952
quest4863,what is the object on the right side of the white machine,jug,image862
quest12164,what is in front of the piano,decorative_item,image1387
quest2710,what is the largest object,sofa,image209
quest4706,what is on the left side of the water cooler,tissue_roll,image820
quest12003,what are stuck on the wall,photo,image1356
quest2676,how many doors are there,2,image681
quest1200,what are the objects that are attached close to the door,"door_knob, door_lock",image15
quest11293,what is on the floor,floor_mat,image1227
quest6851,what is the colour of the chairs,"white, brown, red, green",image1424
quest3182,what is the colour of the wall,red,image374
quest9016,how many shower knobs are found,4,image686
quest11771,what is at the centre of the table,book,image1312
quest11229,how many knobs are there,3,image1215
quest1890,what is the object on the floor right of the door,floor_mat,image687
quest5693,how many lamps are there,2,image1092
quest3483,how many chairs are there,4,image452
quest12074,what are the things behind the chairs,photo,image1371
quest33,what color is the wall behind the projector screen,black,image7
quest8421,what is to right of towel,shelves,image502
quest7682,what is to left of the stove burner,sink,image250
quest1337,what are the objects on the side table,"hand_sanitizer, tissue_box",image57
quest4082,what is the colour of the chart on the table,yellow,image618
quest10671,what is on the stuck on the wall,photo,image1098
quest6581,what is the colour of the lamp,white,image1349
quest3489,what is on the right side of the white box,paper,image453
quest8919,how many windows are there in the room,1,image661
quest12055,what is stuck on the wall,photo,image1368
quest8154,what is on the paper,pen,image392
quest5490,what is on the left side of the wall,table,image1035
quest3434,what is on the sofa,book,image439
quest10208,what is present below the stereo,table,image1003
quest11532,what is found right of the table on the wall,window,image1269
quest10438,what is to the right side of the bunk bed,chair,image1056
quest746,what is object close to the wall above the sofa,picture,image50
quest4708,what is behind the bottle of liquod,stove,image820
quest1487,what is the red object close to the pillar,fire_alarm,image109
quest7894,what is inside the plastic tray,pen,image309
quest143,what is the rectangular shaped object on the night stand on the right side of the bed,laptop,image79
quest11968,what is on the left side,window,image1350
quest7252,what is to the left of coffee grinder,coffee_machine,image121
quest1534,what is the edible object kept on the trays,bread,image123
quest2652,what is the big black object next to the books,television,image1251
quest7934,which colour is more,red,image318
quest3080,what is above the whit clothes,hat,image92
quest8543,what is largest object,shelves,image540
quest4707,what is behind the tissue roll,bottle_of_liquid,image820
quest8095,how many drawers are in the table,3,image370
quest1331,what are the objects close to the wall,"wall_decoration, framed_certificate",image55
quest9855,what is found on the right side of the window,chair,image910
quest958,what are the objects on the bed,"pillow, blanket, book",image1036
quest2111,what is the object close to the knife rack,knife,image892
quest11414,what are the objects on the coffee table,"books, plate",image1248
quest9665,what is the object with blue colour handle,measuring_cup,image862
quest6075,what is the colour of the flower in the flower pot,red,image1207
quest12254,what is stuck to the right of the window,photo,image1404
quest1661,what is the object on the floor right of the shelf,chair,image494
quest1027,what is object on the floor mat,table,image1242
quest6373,what is on the left side of the clothes on the sofa,paper,image1293
quest11206,what is stuck on the top right corner of the wall,photo,image1211
quest1248,what is the object in front of the projector screen,table,image27
quest11083,what is at the opposite side of the window,bed,image1186
quest11432,what is to the right of the table,cabinet,image1251
quest656,what is the object on the cd rack,cd_disc,image90
quest624,how many frames are on the wall above the lamp shade and the armchair,3,image588
quest8026,what is near the tissue roll,salt_and_pepper,image346
quest8448,what is above sink,mirror,image510
quest3929,what is on the right side of the picture,lamp,image579
quest2200,what is the largest object,bed,image971
quest8840,what is at the left corner in between the papers on the table,id_card,image638
quest6163,what is on the left side of the lamp,door,image1232
quest9041,how many towels are there,1,image690
quest10832,what object is found on the left top,window,image1135
quest9521,what is found to the top of the refridgerator,bookrack,image821
quest11205,what are the things on the coffee table,"candelabra, books, chessboard, decoration_item",image1211
quest11776,what is to the left of the table,sofa,image1313
quest6274,how many pictures are there on the wall,5,image1263
quest3805,what is on the left side of the rack,yoga_mat,image542
quest2626,what color is the towel,pink,image690
quest7039,what is colour of cpu,black,image20
quest3471,what is the tall white object on the table,tissue_roll,image448
quest3188,what are the colours of the books in the shelf,"black, red, white",image375
quest2929,what is right side of the tap,cup,image46
quest920,what is the object close to the counter,sink,image576
quest9166,which background used in photo frame,white,image732
quest2874,what is in front of the whiteboard,garbage_bin,image28
quest6235,what is on the table,"book, picture",image1251
quest3296,what is in between the chairs,table,image403
quest2458,how many fans are there,1,image13
quest5509,what is behind the chair,bookshelf,image1040
quest4095,what is on the left side of the carton,stand,image622
quest77,how many papers are on the wall on the left side of the modem,1,image20
quest6428,what is on the left of the fire place,cables,image1307
quest9973,what is on the bed,soft_toy,image944
quest8372,what holds the globe,globe_stand,image481
quest2699,what is the white object in front of the wall,towel,image665
quest5322,what is the colour of the lamp on the night stand,red,image991
quest11111,what is at the left side of the bed,cabinet,image1192
quest6827,what is on the wall,wall_decoration,image1418
quest5438,what is on the right side of the wall,"table, chair",image1022
quest2261,what is the object on the floor in the corner,stool,image1020
quest1776,what is the object close to the wall behind the table,window,image596
quest4076,what is on the left side on the table,monitor,image617
quest94,what is the black object on the right side of the flipped table,chair,image28
quest3044,what is the colour of the cloth on the comforter,"blue, gray",image79
quest8488,what is in front of chair,window,image523
quest5147,what is on the right side of the crib,cloth_bag,image944
quest12352,what is at the right side,table,image1425
quest12410,what is behind the dining table,window,image1437
quest715,what are the objects on the shelves,"toy, photo",image1065
quest1077,what is the largest object on the floor,sofa,image591
quest6862,what is the colour of the table,black,image1427
quest11178,how many pillows are there,8,image1206
quest6162,what is behind the chair,lamp,image1232
quest2016,how many bottles are there on the table,2,image812
quest5904,what is in front of chair,bag,image1154
quest1886,what is the object on the floor left of the bathtub,floor_mat,image686
quest9270,how many chairs are there,4,image758
quest4099,what is on the right side of the paper,laptop,image623
quest5923,what is the largest object,bunk_bed,image1160
quest7732,what is left of chair,window,image264
quest11956,what is on the left side,window,image1347
quest5886,what is on the right side of the drawer,window,image1148
quest1489,what is the blue object on the ground close to the pillar,garbage_bin,image110
quest5501,what is behind the drawer table,window,image1038
quest4030,what is on the left side of the bottle,lamp,image605
quest8319,what is to the left of the computer,printer,image455
quest3859,how many drawers are there,3,image557
quest9793,what object is found under the storage,bag,image893
quest2760,how many armchairs are there,2,image1232
quest6558,what is in front of the table,sofa,image1343
quest3419,what is on the sofa,towel,image435
quest1438,what are the objects hung close on the hangers,clothes,image94
quest1234,how many lights are on,3,image22
quest186,what is the electrical object on the cabinet,blender,image134
quest4672,what is on the left side of the salt shaker,plastic_box,image810
quest2466,how many white printers are there,2,image16
quest7932,which object on the table is used for cutting,scissor,image318
quest9476,what is the object found behind the table,vase,image809
quest3791,what is on the right side of the pillow,book,image538
quest1298,what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image44
quest8886,what is hanged behind the curtain,towel,image652
quest11950,what is seen on the top of the rack,chandelier,image1346
quest4721,what is on the left side of the wall,refridgerator,image823
quest450,what is the white electric appliance close to the dish rack,electrical_kettle,image575
quest8292,what is to the right of the toy stool,toy_table,image444
quest2961,what is left side of the bed,night_stand,image56
quest11940,what are around the table,chair,image1344
quest7508,what is the colour of the kitchen,white,image203
quest8569,what colour is the door,brown,image548
quest7692,what is the largest object,refridgerator,image253
quest7530,what is to the right of sofa,air_conditioner,image209
quest382,what is on the chair back behind the counter,jacket,image453
quest8898,what is on the left side of the mirror,towel_rod,image655
quest1156,how many chairs are there,4,image5
quest6436,what is in front of the chair,stool,image1310
quest5525,what is on the right most side,piano,image1044
quest4430,what is the largest object is in front of the mirror,ornamental_plant,image735
quest1729,what is the largest object,table,image565
quest3155,how many tables are there,3,image118
quest8761,what is above the briefcase,framed_certificate,image610
quest774,what is the object on the bed,pillow,image1163
quest2728,how many green lamps are there on the desk,1,image585
quest9037,how many knobs are there,2,image689
quest1254,what is the object close to the wall behind the table,switchbox,image29
quest4697,what is in front of the bucket,paper,image817
quest3685,how many electric toothbrushes are there,3,image509
quest2504,what is the object on the white wall behind the red chair,whiteboard,image33
quest5332,what is beneath the blinds,"drawer, bed",image994
quest5934,what is beneath the blinds,table,image1162
quest10856,what are the objects found near the table,"lamp, chair, garbage_bin",image1140
quest3843,what is on the chair,clothes,image553
quest3127,what is next to the black paper holders in the left side,tape,image108
quest6476,what is on the table,decorative_item,image1321
quest3046,how many pillows are there,4,image79
quest1613,what is the object on the floor close to the wall corner,lamp,image149
quest8743,what is behind the fain,sofa,image604
quest2192,what is the object on the floor left of the stool,bed,image962
quest1730,how many chairs are there,4,image565
quest11849,what is to the left of the sofa,television,image1327
quest6206,what is in front of the sofa,television,image1244
quest7691,what is left of sink,bottle,image252
quest3699,what is on the night stand,lamp,image514
quest6888,what is the colour of the table and chair,brown,image1433
quest6553,what is on the table,"salt_shaker, bowl, decorative_plate, decorative_item",image1342
quest7342,what is on the stove,frying_pan,image144
quest531,what is between the sidetable and the window below the mantel,fireplace,image1225
quest6454,how many stools are there,2,image1315
quest3205,what is on the left side of the table,sofa,image380
quest5642,what is attached to the bunk bed,ladder,image1077
quest12197,what is at the centre of the chairs,table,image1394
quest6682,what is on the ceiling,light,image1382
quest11176,what are the things on the table,"books, bowl",image1205
quest10142,what is at the top of the bookshelf,toy,image986
quest8687,what is in front of computer,chair,image585
quest7190,what is front of the shelf,stool,image102
quest5815,what is on the left side of the alarm,paper,image1126
quest10909,what is found on the cabinet,computer,image1150
quest11314,what object is found on the sofa,pillow,image1230
quest5141,what is on the right side of the bed,toy,image943
quest6811,what is in front of the blinds,lamp,image1414
quest145,what color is the hat on the top right of the bookshelf,"black, white",image80
quest9640,what object is found near the sink,bottle_of_hand_wash_liquid,image856
quest5080,how many drawers are there,4,image928
quest11981,what is the colour of the wall,orange,image1352
quest7446,what is to the right of the night lamp,tissue_box,image174
quest2756,what is the white object in the left side of the toilet,garbage_bin,image497
quest2493,what in the brown object next to the black armchair,table,image28
quest9598,what is found behind the sink,window,image844
quest6718,what is on the ceiling,light,image1390
quest4098,what is the colour of the books,"pink, red, green, yellow, blue",image623
quest10009,what is the object on the cpu,doll,image955
quest10611,what is at the left corner of the room,window,image1087
quest10859,what object is found under the table,garbage_bin,image1140
quest4128,what is in between the chairs,stool,image632
quest2890,what is in front of the whiteboard,chair,image33
quest8584,what is right of computer,printer,image553
quest3167,what is on the table left side of the window,printer,image369
quest789,how many pillows are there on the bed,2,image1022
quest10289,what is seen on the wall behind the bed,lamp_shade,image1021
quest12017,what is hanged before the window,curtain,image1360
quest2677,what is the big white object behind the table,refridgerator,image415
quest4210,what is on the left most side on the shelf,bottle_of_liquid,image658
quest9004,what is the colour of the object on the left side of the sink,red,image682
quest2031,what is the object on the shelf above the counter,microwave,image828
quest5187,what is behind the lamp,paper,image955
quest12377,what is to the right of the white colour sofa,lamp,image1429
quest9988,what is in front of the bed,suitcase,image950
quest11197,what is in front of the sofa,coffee_table,image1210
quest5479,what is on the bed,"pillow, comforter, bed_sheets",image1032
quest4895,what is on the right side of the microwave,refridgerator,image871
quest432,what is on the left side of the 3 tier round table,window,image548
quest8010,what is behind the chair,window,image341
quest1781,what is the object on the table,television,image602
