question_id,question,answer,image_id
quest295,what color is the picture on the right side of the whiteboard,"yellow, red, orange",image290
quest296,how many plastic toy containers are below the table in front of the wall,6,image292
quest297,what is covering the wall above the cabinet,picture,image292
quest298,what colors are the garbage bins,"blue, gray",image292
quest299,what colors are the circles on the back of the chairs,"green, yellow",image294
quest300,what is on the right side of the desk on the floor,garbage_bin,image294
quest301,what is the round object at the end of the room in front of the blue boxes,globe,image308
quest302,what color is the lamp shade on the desk,red,image308
quest303,what is hanging on the hangers on the right side of the room,backpack,image309
quest304,how many lamps are on the ceiling,2,image309
quest305,which objects are used in this room to show the world,"globe, map",image309
quest306,what is the round colorful object on the floor,rug,image316
quest307,what colors are the notebooks on the blue table,"orange, white",image316
quest308,how many chairs are around the green table,6,image317
quest309,what colors are the tables with the orange notebooks on them,"yellow, green",image317
quest310,what color are the children tshirtsg,red,image318
quest311,what color are the pencil holders on the table on the right side of the room,green,image318
quest312,what is on the brown board on the wall,paper,image318
quest313,what is the flower shaped object on the toy sofa,pillow,image325
quest314,which object has the circle shaped design,rug,image325
quest315,what color is the water flask on the desk,blue,image334
quest316,how many monitors are off in this picture,4,image334
quest317,what is the round object on the wall,clock,image336
quest318,how many computer mouses are in this picture,3,image336
quest319,what is in the corner of the wall,whiteboard,image339
quest320,what colors are the walls in this picture,"yellow, white",image339
quest321,what is the red object on the desk,pen_holder,image360
quest322,what color is the window shutter,white,image360
quest323,how many frames are on the desk,1,image360
quest324,what is on the brown board on the desk,"paper, picture",image361
quest325,what is in the red mug on the desk,"pen, pencil",image361
quest326,what is the most frequent object in the room,book,image374
quest327,what is on the desk,"desk_mat, paper, book, napkin_dispenser",image374
quest328,what color is the frame in front of the bookshelf on the floor,black,image377
quest329,what color is the paper under the black frame on the floor,pink,image377
quest330,how many wall lamp shades are in the picture,1,image381
quest331,how many drawers are on the left side of the desk,10,image381
quest332,what color is the leather sofa,brown,image383
quest333,how many chairs are in front of the desk,2,image383
quest334,what is on the desk,book,image384
quest335,what color is the wall behind the leather chair,brown,image384
quest336,how many white monitors are on the desk,1,image389
quest337,what is on the left side of the desk close to a bunch of paper,printer,image389
quest338,what color is the plastic bag on the desk,"white, red",image390
quest339,how many white paper folders are on the desk,2,image390
quest340,how many frames are on the wall,4,image396
quest341,what color are the blinds,white,image396
quest342,how many shelves are above the monitor,2,image396
quest343,what is on the right side of the bookshelf,toy_house,image400
quest344,what color is the rocking chair in front of the bookshelf,white,image400
quest345,how many toy chairs are on the floor,2,image402
quest346,what color is the plastic toy container on the toy chair,blue,image402
quest347,what is the round object between the armchairs,ottoman,image403
quest348,what is behind the armchairs and ottoman,railing,image403
quest349,what is in the corner of the wall close to the garbage bin,water_dispenser,image414
quest350,what color is the door of the garbage bin,black,image414
quest351,what color are the chair seats around the table,red,image414
quest352,what is the largest blue object in this picture,water_carboy,image417
quest353,what color is the chair seat pad,black,image417
quest354,what is the purple box on the table,napkin_dispenser,image419
quest355,what color is the bed sheet,blue,image419
quest356,how many pink towels are on the pile of clothes,1,image419
quest357,what kinds of tables are in the picture,"foosball_table, toy_table",image422
quest358,how many frames are on the wall close to the window,6,image422
quest359,what is the black and white toy behind the foosball table on the floor,ball,image422
quest360,how many pairs of socks are on the toy table,1,image424
quest361,what color is the kitchen counter,red,image432
quest362,how many kitchen stools are in front of the kitchen counter,2,image432
quest363,what color is the circle shaped carpet below the stool,red,image432
quest364,what is between the two black chairs on the floor,ottoman,image434
quest365,which decorative object is in this picture,vase,image434
quest366,what is on the door of the wardrobe,mirror,image441
quest367,what color are the blinds,white,image441
quest368,how many pictures are on the wall on the right side of the window,2,image441
quest369,what is on the floor on the left side of the shelf,toy_truck,image442
quest370,what is between the toy truck and the toy shelf,doll_house,image443
quest371,what color is the plastic toy container close to the door way,blue,image443
quest372,how many toy boxes are on the top of the toy shelf,2,image443
quest373,how many doll houses are in the room,3,image444
quest374,what color is the stool close to the baby towel,"black, white",image444
quest375,what color is the door of the doll house in front of the wall behind the armchair,"blue, red",image444
quest376,what colors are the folding chairs,"green, yellow",image445
quest377,what is the largest dark blue object in this picture,sofa,image445
quest378,how many toy boxes are on the floor,2,image447
quest379,what is the yellow object on the floor on the right side of the toy box,chair,image447
quest380,how many tape dispensers are on the cabinet below the brown board,3,image450
quest381,what color are the cabinets,brown,image450
quest382,what is on the chair back behind the counter,jacket,image453
quest383,how many pens are on the counter,2,image453
quest384,how many frames are hanging on the wall,3,image462
quest385,what colors are the carpet under the coffee table,"black, brown, white, gray, pink",image462
quest386,how many doors does the bookshelf have,4,image472
quest387,what is the largest wooden object in this picture,bookshelf,image472
quest388,what is on the end table between the chairs,book,image478
quest389,how many four leg objects are in this picture,4,image478
quest390,what is the largest black object in this picture,sofa,image488
quest391,what color is the side table on the left side of the sofa,brown,image488
quest392,how many electrical outlets are behind the lamp shade,2,image488
quest393,how many white plastic boxes are close to the wall,3,image491
quest394,what is the white cylinder shaped object in front of the wall,water_heater,image491
quest395,what is on the floor in front of the toilet,floor_mat,image506
quest396,what is in the basket on the right side of the toilet,magazine,image506
quest397,what color is the bathroom mat on the floor,red,image508
quest398,what is the shower door made of,glass,image508
quest399,what color is the frame of the window,white,image508
quest400,what kind of toothbrush is close to the sink,electric_toothbrush,image509
quest401,what is on the left side of the faucet with black cap,bottle_of_listerine,image509
quest402,how many electric toothbrushes are close to the sink,3,image509
quest403,what are the golden objects below the mirror,"faucet, faucet_handle",image510
quest404,what color is the flower pattern on the glass on the right side of the faucet handle,white,image510
quest405,what is on the left side of the sink,"razor, toothpaste",image511
quest406,what is the white object on the left side of the toilet,bathtub,image511
quest407,what color is the handwash container on the left side of the faucet,brown,image511
quest408,what color is the frame of the mirror close to the wardrobe,white,image515
quest409,how many pieces does the curtain have,2,image515
quest410,how many lamp shades are in front of the window,2,image516
quest411,what color are the bed sheets,red,image516
quest412,what is on the desk close to the bookshelf,book,image517
quest413,what color is the bathrobe on the clothing drying rack,black,image517
quest414,which electric home appliance is on the right side of the table,clothing_iron,image523
quest415,what is the blue object on the left side of the clothing iron,ironing_board,image523
quest416,what color is the blind above the table,white,image523
quest417,which object has the colorful circle pattern,bed_sheets,image525
quest418,how many drawers does the night stand have,2,image525
quest419,what are the most colorful objects in this picture,"map, bed_sheets",image525
quest420,what colors do the circles of the bed sheet have,"yellow, orange, black, purple",image526
quest421,what is the largest dark brown object in this picture,dresser,image526
quest422,how many pillows are on the mattress,2,image532
quest423,what is the green and blue object in this picture,blanket,image532
quest424,what is on the left side of the mattress on the floor,"paper, napkin_dispenser",image532
quest425,what color is the sheet on the mattress,green,image534
quest426,how many dark blue objects are on the bed,1,image534
quest427,what color is the laundry basket on the floor,white,image539
quest428,what is the electric appliance on the top shelf of the bookcase and close to the basket,hair_dryer,image542
quest429,which rolled object is in this room,yoga_mat,image542
quest430,how many shelves does the bookcase have,4,image542
quest431,what color is the lamp shade in front of the window,white,image546
quest432,what is on the left side of the 3 tier round table,window,image548
quest433,what color is the door frame,brown,image548
quest434,how many sculptures are on the top of the round table,2,image548
quest435,what color is the paper towel holder on the dining table,brown,image550
quest436,how many chairs are around the table,6,image550
quest437,how many drawers does the filing cabinet have,4,image552
quest438,what color is the file container on the filing cabinet,white,image552
quest439,what is the wooden object on the cabinet leaning against the wall,cutting_board,image564
quest440,what color are the drawer knobs,white,image564
quest441,what is hanging on the wall on the left side of the door way,calendar,image564
quest442,what is the electric appliance close to the dish rack,electric_mixer,image568
quest443,what is the red object below the kitchen counter on the left side of the stool,fire_extinguisher,image569
quest444,how many knobs does the oven have,5,image569
quest445,what is the black object on the top of the microwave,coffee_machine,image570
quest446,what is hanging on the refridgerator handle,kichen_towel,image570
quest447,what is hanging on the cabinet above the sink,ladel,image575
quest448,what color is the window frame,blue,image575
quest449,what is the largest black object in the kitchen,dishwasher,image575
quest450,what is the white electric appliance close to the dish rack,electrical_kettle,image575
quest451,what color is the cabinet above the kitchen counter,brown,image577
quest452,how many cushions are on the sofa,2,image580
quest453,what is the largest glassy object in this picture,window,image580
quest454,how many frames are on the wall above the chair and the lamp shade,3,image588
quest455,what color is the coffee table in front of the sofa,brown,image588
quest456,what color are the candles in the candlesticks,red,image590
quest457,what is on the top of the cabinet,"candlestick, toy_dog",image590
quest458,what is the most colorful object in this picture,rug,image590
quest459,what is the dark red object in this picture,curtain,image594
quest460,what is the object for air conditioning,fan,image595
quest461,what is on the coffee table,"paper, console_controller, remote_control",image598
quest462,how many stairs are on the right side of the stair railing,2,image601
quest463,how many bicycles are hanging on the wall,1,image603
quest464,what is on the left side of the reading lamp on the desk,monitor,image603
quest465,what color is the stool below the table,"white, brown",image607
quest466,how many shelves does the bookcase have,4,image607
quest467,what is the only leather object in this room,chair,image612
quest468,what color is the lamp shade on the cabinet,white,image612
quest469,what is the rectangular wooden object on the desk,paper_holder,image614
quest470,what is below the colorful painting on the cabinet,printer,image614
quest471,how many side chairs are on the right side of the dining table in front of the window,4,image1404
quest472,what is the white object below the reception desk on the floor,radiator,image123
quest473,how many pieces of glass does the table have in this picture,3,image462
quest474,how many electrical outlets are above the kitchen counter in this picture,1,image839
quest475,what is on the right side of the bookshelf in front of the curtain,chair,image381
quest476,how many ottomans are around the table,1,image434
quest477,what is spread on the floor below the dining table,rug,image1449
quest478,what is the colorful object containing white soaps on the left side of the sink,decorative_dish,image682
quest479,how many drawer knobs does the desk have,5,image1053
quest480,what is hanging on the rod below the sink,towel,image663
quest481,how many lamps are above the cash desk,3,image114
quest482,what are the objects on the coffee table,"book, decorative_bowl",image1288
quest483,what color is the door of the toy tent,brown,image1157
quest484,what is the red object on the desk on the right side of the mouse,pen_cup,image360
quest485,what is in front of the glass door of the dresser,book,image1061
quest486,what are the green objects between the cage and window on the floor,ornamental_plant,image1300
quest487,what is behind the pull down faucet,window_shelf,image807
quest488,what color are the stools under the table,"white, blue",image756
quest489,which wall mounted objects are on the left side of the toilet,"towel_rod, toilet_paper_holder",image705
quest490,what is on the handle of the dishwasher,kichen_towel,image848
quest491,what is the main color of the blanket on the bed,blue,image920
quest492,what is the round object in front of the blue boxes at the end of the room,globe,image308
quest493,what color is the floor in this picture,brown,image167
quest494,what color are the handles of the cabinets,pink,image862
quest495,what is the dining table made of,glass,image1440
quest496,what color is the flower shaped pillow on the blue toy sofa,"purple, yellow",image325
quest497,what is the largest round object in this picture,ottoman,image1299
quest498,what is in the corner of the wall,whiteboard,image339
quest499,what color is the towels reflected in the mirror,blue,image170
quest500,what is between the two armchairs,bookshelf,image1216
quest501,what is the red and gray object in front of the mirror and close to the edge of the desk,deoderant,image77
quest502,what is on the cabinet close to the roll of paper towels,knife_rack,image898
quest503,how many lamps are on the ceiling,3,image797
quest504,how crest rails are behind the dining table,3,image1399
quest505,what are behind the armchairs on the left and right sides of the television,lamp,image1232
quest506,what kind of toys are between the bookshelf and the chair,soft_toy,image1001
quest507,what is the gray object on the kitchen table close to the paper,spice_stand,image789
quest508,what is the round object on the wall above the television,clock,image163
quest509,how many drawers does the dresser have,6,image964
quest510,what color is the cloth on the top of the clothing drying rack on the left side of the bed,black,image516
quest511,what is the name of the small appliance on the cabinet and on the left side of the pot,toaster_oven,image145
quest512,what colors are the backpacks in this store,"black, purple, blue, pink",image91
quest513,what is the brown leather object on the right side of the bookshelf,chair,image384
quest514,what color is the garbage bin on the right side of the desk on the floor,black,image612
quest515,how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
